observable_id,pauli_string,group_id,circuit_index,bits,invert
P1473,X1 Y2 Y3 Z4 Z5 X6,WT_TMP_G0018,0,1;2;3;4;5;6,false
P1479,X1 Y2 Y7 X8,WT_TMP_G0018,0,1;2;7;8,false
P1480,Y0 X1 X6 Y7,WT_TMP_G0018,0,0;1;6;7,false
P0955,X1 Z2 Z3 Z4 Z5 Z6 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;2;3;4;5;6;8;9;10;11,false
P0989,X1 Z2 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;2;4;5;6;7;8;9;10;11,false
P1081,Z0 Z9,WT_TMP_G0019,0,0;9,false
P1444,X1 Z2 Z3 Z4 Z5 Z6 Z7 Z9 Z10 X11,WT_TMP_G0019,0,1;2;3;4;5;6;7;9;10;11,false
P1464,Z0 X1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,0;1;2;3;4;5;6;7;8;9;10;11,false
P1472,X1 Z2 Z3 Z4 Z5 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;2;3;4;5;7;8;9;10;11,false
P1478,Z0 Z8,WT_TMP_G0019,0,0;8,false
P1494,X1 Z2 Z3 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;2;3;5;6;7;8;9;10;11,false
P1564,X1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;2;3;4;5;6;7;8;9;10;11,false
P1636,X1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z10 X11,WT_TMP_G0019,0,1;2;3;4;5;6;7;8;10;11,false
P1674,X1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 X11,WT_TMP_G0019,0,1;2;3;4;5;6;7;8;9;11,false
P1782,X1 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;3;4;5;6;7;8;9;10;11,false
P1789,X1 Z2 Z3 Z4 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0019,0,1;2;3;4;6;7;8;9;10;11,false
P0591,Y0 Z1 Z3 Y4,WT_TMP_G0020,0,0;1;3;4,false
P0600,Y0 Z1 Z2 Z3 Y4,WT_TMP_G0020,0,0;1;2;3;4,false
P0631,Y0 Z2 Z3 Y4,WT_TMP_G0020,0,0;2;3;4,false
P0639,Z6 X7 Z8 X9,WT_TMP_G0020,0,6;7;8;9,false
P0677,Z1 X7 Z8 X9,WT_TMP_G0020,0,1;7;8;9,false
P0880,Y0 Z1 Z2 Z3 Y4 Z11,WT_TMP_G0020,0,0;1;2;3;4;11,false
P1102,Y0 Z1 Z2 Z3 Y4 Z8,WT_TMP_G0020,0,0;1;2;3;4;8,false
P1289,Z2 X7 Z8 X9,WT_TMP_G0020,0,2;7;8;9,false
P1339,Z3 X7 Z8 X9,WT_TMP_G0020,0,3;7;8;9,false
P1365,X5 Z6 Z8 X9,WT_TMP_G0020,0,5;6;8;9,false
P1392,X7 X9,WT_TMP_G0020,0,7;9,false
P1396,Y0 Z1 Z2 Z3 Y4 Z6,WT_TMP_G0020,0,0;1;2;3;4;6,false
P1404,Y0 Z1 Z2 Z3 Y4 X7 Z8 X9,WT_TMP_G0020,0,0;1;2;3;4;7;8;9,false
P1409,Z3 X5 Z6 X7,WT_TMP_G0020,0,3;5;6;7,false
P1412,X5 Z6 X7 Z11,WT_TMP_G0020,0,5;6;7;11,false
P1419,Z1 X5 Z6 X7,WT_TMP_G0020,0,1;5;6;7,false
P1426,X7 Z8 X9,WT_TMP_G0020,0,7;8;9,false
P1428,Y4 X5 X9 Y10,WT_TMP_G0020,0,4;5;9;10,false
P1436,Z2 X5 Z6 X7,WT_TMP_G0020,0,2;5;6;7,false
P1475,Y0 Z1 Z2 Y4,WT_TMP_G0020,0,0;1;2;4,false
P1521,X5 Z6 X7,WT_TMP_G0020,0,5;6;7,false
P1539,X7 Z8 X9 Z11,WT_TMP_G0020,0,7;8;9;11,false
P1565,X5 Z6 X7 Z8,WT_TMP_G0020,0,5;6;7;8,false
